1,"eplusout.eso"

"Date/Time","[1] Surface Outside Face Incident Solar Radiation Rate per Area  (W/m2)"
,"ZONE_0:F5"
"Year 1 Jan 06 10:00 AM","238.661973495766"
"Year 1 Jan 06 11:00 AM","272.433415393146"
"Year 1 Jan 06 12:00 PM","162.823668561544"
"Year 1 Jan 06 1:00 PM","125.175347262112"
"Year 1 Jan 06 2:00 PM","66.2868877145137"
"Year 1 Jan 06 3:00 PM","53.7349204758908"
"Year 1 Jan 06 4:00 PM","32.5045205483683"
"Year 1 Jan 06 5:00 PM","4.57784212160788"
"Year 1 Jan 06 6:00 PM","0"
"Year 1 Jan 06 7:00 PM","0"
"Year 1 Jan 06 8:00 PM","0"
"Year 1 Jan 06 9:00 PM","0"
"Year 1 Jan 06 10:00 PM","0"
"Year 1 Jan 06 11:00 PM","0"
"Year 1 Jan 07 12:00 AM","0"
"Year 1 Jan 07 1:00 AM","0"
"Year 1 Jan 07 2:00 AM","0"
"Year 1 Jan 07 3:00 AM","0"
"Year 1 Jan 07 4:00 AM","0"
"Year 1 Jan 07 5:00 AM","0"
"Year 1 Jan 07 6:00 AM","0"
"Year 1 Jan 07 7:00 AM","0"
"Year 1 Jan 07 8:00 AM","20.8311967997679"
"Year 1 Jan 07 9:00 AM","138.162553449351"
"Year 1 Jan 07 10:00 AM","277.45253234525"
"Year 1 Jan 07 11:00 AM","382.20370203383"
"Year 1 Jan 07 12:00 PM","431.682557990778"
"Year 1 Jan 07 1:00 PM","251.84324598056"
"Year 1 Jan 07 2:00 PM","18.6166829072603"
"Year 1 Jan 07 3:00 PM","15.598692744528"
"Year 1 Jan 07 4:00 PM","10.6628621375298"
"Year 1 Jan 07 5:00 PM","3.18983611606909"
"Year 1 Jan 07 6:00 PM","0"
"Year 1 Jan 07 7:00 PM","0"
"Year 1 Jan 07 8:00 PM","0"
"Year 1 Jan 07 9:00 PM","0"
"Year 1 Jan 07 10:00 PM","0"
"Year 1 Jan 07 11:00 PM","0"
"Year 1 Jan 08 12:00 AM","0"
"Year 1 Jan 08 1:00 AM","0"
"Year 1 Jan 08 2:00 AM","0"
"Year 1 Jan 08 3:00 AM","0"
"Year 1 Jan 08 4:00 AM","0"
"Year 1 Jan 08 5:00 AM","0"
"Year 1 Jan 08 6:00 AM","0"
"Year 1 Jan 08 7:00 AM","0"
"Year 1 Jan 08 8:00 AM","21.0318364416125"
"Year 1 Jan 08 9:00 AM","135.057510900593"
"Year 1 Jan 08 10:00 AM","248.791247637632"
"Year 1 Jan 08 11:00 AM","342.384951794572"
"Year 1 Jan 08 12:00 PM","382.964395766915"
"Year 1 Jan 08 1:00 PM","230.588092339237"
"Year 1 Jan 08 2:00 PM","23.7969731812887"
"Year 1 Jan 08 3:00 PM","15.6518737409319"
"Year 1 Jan 08 4:00 PM","12.0531055348321"
"Year 1 Jan 08 5:00 PM","3.63793449053384"
"Year 1 Jan 08 6:00 PM","0"
"Year 1 Jan 08 7:00 PM","0"
"Year 1 Jan 08 8:00 PM","0"
"Year 1 Jan 08 9:00 PM","0"
"Year 1 Jan 08 10:00 PM","0"
"Year 1 Jan 08 11:00 PM","0"
