Year 1 Jan 03 1:00 PM,133.7757776,,120.2338289,0.898771295,13.54194873,,,133.7757776,,0
Year 1 Jan 03 2:00 PM,124.5645524,,94.23768553,0.756536942,30.32686691,,,124.5645524,,0
Year 1 Jan 03 3:00 PM,87.92947141,,68.37919674,0.777659591,19.55027467,,,87.92947141,,0
Year 1 Jan 03 4:00 PM,44.66437047,,35.68596377,0.798980561,8.978406699,,,44.66437047,,0
Year 1 Jan 03 5:00 PM,6.250944819,,4.696689802,0.751356785,1.554255017,,,6.250944819,,0
Year 1 Jan 03 6:00 PM,0,,0,#DIV/0!,0,,,0,,0
Year 1 Jan 03 7:00 PM,0,,0,#DIV/0!,0,,,0,,0
Year 1 Jan 03 8:00 PM,0,,0,#DIV/0!,0,,,0,,0
Year 1 Jan 03 9:00 PM,0,,0,#DIV/0!,0,,,0,,0
Year 1 Jan 03 10:00 PM,0,,0,#DIV/0!,0,,,0,,0
Year 1 Jan 03 11:00 PM,0,,0,#DIV/0!,0,,,0,,0
Year 1 Jan 04 12:00 AM,0,,0,#DIV/0!,0,,,0,,0
Year 1 Jan 04 1:00 AM,0,,0,#DIV/0!,0,,,0,,0
Year 1 Jan 04 2:00 AM,0,,0,#DIV/0!,0,,,0,,0
Year 1 Jan 04 3:00 AM,0,,0,#DIV/0!,0,,,0,,0
Year 1 Jan 04 4:00 AM,0,,0,#DIV/0!,0,,,0,,0
Year 1 Jan 04 5:00 AM,0,,0,#DIV/0!,0,,,0,,0
Year 1 Jan 04 6:00 AM,0,,0,#DIV/0!,0,,,0,,0
Year 1 Jan 04 7:00 AM,0,,0,#DIV/0!,0,,,0,,0
Year 1 Jan 04 8:00 AM,13.61666263,,13.61660495,0.999995764,5.76798E-05,,,13.61666263,,0
Year 1 Jan 04 9:00 AM,48.65130749,,48.6512334,0.999998477,7.40943E-05,,,48.65130749,,0
Year 1 Jan 04 10:00 AM,80.88822822,,80.88816755,0.99999925,6.06667E-05,,,80.88822822,,0
Year 1 Jan 04 11:00 AM,110.8137543,,110.8136102,0.999998699,0.000144166,,,110.8137543,,0
Year 1 Jan 04 12:00 PM,117.560398,,117.5603222,0.999999355,7.57818E-05,,,117.560398,,0
Year 1 Jan 04 1:00 PM,114.6890365,,105.9052298,0.923411976,8.783806728,,,114.6890365,,0
Year 1 Jan 04 2:00 PM,93.95749597,,78.26097419,0.832940186,15.69652177,,,93.95749597,,0
Year 1 Jan 04 3:00 PM,73.18425055,,60.79179638,0.830667745,12.39245417,,,73.18425055,,0
Year 1 Jan 04 4:00 PM,35.10392285,,30.47009271,0.8679968,4.633830135,,,35.10392285,,0
Year 1 Jan 04 5:00 PM,5.244587251,,4.272162144,0.814585007,0.972425107,,,5.244587251,,0
Year 1 Jan 04 6:00 PM,0,,0,#DIV/0!,0,,,0,,0
Year 1 Jan 04 7:00 PM,0,,0,#DIV/0!,0,,,0,,0
Year 1 Jan 04 8:00 PM,0,,0,#DIV/0!,0,,,0,,0
Year 1 Jan 04 9:00 PM,0,,0,#DIV/0!,0,,,0,,0
Year 1 Jan 04 10:00 PM,0,,0,#DIV/0!,0,,,0,,0
Year 1 Jan 04 11:00 PM,0,,0,#DIV/0!,0,,,0,,0
Year 1 Jan 05 12:00 AM,0,,0,#DIV/0!,0,,,0,,0
Year 1 Jan 05 1:00 AM,0,,0,#DIV/0!,0,,,0,,0
Year 1 Jan 05 2:00 AM,0,,0,#DIV/0!,0,,,0,,0
Year 1 Jan 05 3:00 AM,0,,0,#DIV/0!,0,,,0,,0
Year 1 Jan 05 4:00 AM,0,,0,#DIV/0!,0,,,0,,0
Year 1 Jan 05 5:00 AM,0,,0,#DIV/0!,0,,,0,,0
Year 1 Jan 05 6:00 AM,0,,0,#DIV/0!,0,,,0,,0
Year 1 Jan 05 7:00 AM,0,,0,#DIV/0!,0,,,0,,0
Year 1 Jan 05 8:00 AM,19.18746599,,19.18728653,0.999990647,0.000179466,,,19.18746599,,0
Year 1 Jan 05 9:00 AM,117.6257829,,117.6249186,0.999992653,0.000864246,,,117.6257829,,0
Year 1 Jan 05 10:00 AM,261.18788,,261.1871031,0.999997026,0.000776838,,,261.18788,,0
Year 1 Jan 05 11:00 AM,373.2621917,,373.2602639,0.999994835,0.001927721,,,373.2621917,,0
Year 1 Jan 05 12:00 PM,424.8593447,,424.8583982,0.999997772,0.000946481,,,424.8593447,,0
Year 1 Jan 05 1:00 PM,413.1510489,,248.4619655,0.601382875,164.6890833,,,413.1510489,,0
Year 1 Jan 05 2:00 PM,327.1898246,,24.68460859,0.075444304,302.505216,,,327.1898246,,0
Year 1 Jan 05 3:00 PM,205.6348917,,30.58052959,0.148712747,175.0543621,,,205.6348917,,0
Year 1 Jan 05 4:00 PM,66.03245111,,21.62803673,0.327536482,44.40441438,,,66.03245111,,0
Year 1 Jan 05 5:00 PM,6.478944,,3.477152412,0.536685054,3.001791588,,,6.478944,,0
Year 1 Jan 05 6:00 PM,0,,0,#DIV/0!,0,,,0,,0
Year 1 Jan 05 7:00 PM,0,,0,#DIV/0!,0,,,0,,0
Year 1 Jan 05 8:00 PM,0,,0,#DIV/0!,0,,,0,,0
